card_id,party,kind,member_rank,subject_en,subject_he,rarity,exact_original_text,english_translation,speaker_or_document,date_or_version,source_url,context,editorial_role,status
LIK-M03-Q02,LIK,member-quote,3,Amir Ohana,אמיר אוחנה,Uncommon,הם היו מעדיפים את הימין שלהם חשוך. יותר נוח להם להיות כוחות האור נגד כוחות החושך.,"They would have preferred their political right dark. It is more convenient for them to be the forces of light against the forces of darkness.",Amir Ohana,2019-06-12,https://www.mako.co.il/news-law/legal-q2_2019/Article-65a73c995ac4b61027.htm,Recorded N12 response to criticism from parts of the LGBT community after Jerusalem Pride,critical,verified
LIK-M03-Q03,LIK,member-quote,3,Amir Ohana,אמיר אוחנה,Rare,הכנסת לא תקבל בהכנעה את רמיסתה.,The Knesset will not submissively accept being trampled.,Amir Ohana,2023-09-06,https://www.mako.co.il/news-politics/2023_q3/Article-eae0670b6fa6a81027.htm,Recorded statement warning the Supreme Court against invalidating Basic Laws,critical,verified
LIK-M04-Q01,LIK,member-quote,4,Yariv Levin,יריב לוין,Common,היועצים המשפטיים כשמם כן הם – יועצים ולא מחליטים. כשהם מייצגים את הממשלה הם צריכים לייצג את הממשלה ולא את עמדתם הפרטית.,"Legal advisers are advisers, not decision-makers. When representing the government, they must represent the government rather than their personal position.",Yariv Levin,2023-01-04,https://mida.org.il/2023/01/04/הצהרת-לוין-הרפורמה-המתוכננת-במערכת/,Recorded launch of the judicial-governance program,critical,verified
LIK-M04-Q02,LIK,member-quote,4,Yariv Levin,יריב לוין,Uncommon,אתם בכל הכבוד לא עומדים מעל מי שהציבור בחר. אף אחד לא שמכם לקבוע מה האינטרס הציבורי.,"With all due respect, you do not stand above those the public elected. No one appointed you to determine the public interest.",Yariv Levin,2023-01-16,https://m.knesset.gov.il/EN/News/PressReleases/Pages/press16123r.aspx,Knesset Constitution Committee exchange with Deputy Attorney General Gil Limon,critical,verified
LIK-M04-Q03,LIK,member-quote,4,Yariv Levin,יריב לוין,Rare,"דבר לא ירתיע אותי מלבצע רפורמה עמוקה ונדרשת במערכת המשפט, בלי עיכובים ובלי מסמוסים.","Nothing will deter me from carrying out a deep and necessary reform of the judicial system, without delays and without watering it down.",Yariv Levin,2023-02-21,https://main.knesset.gov.il/News/PressReleases/pages/press21.02.23.aspx,After first-reading approval of judicial-selection and Basic-Law legislation,critical,verified
DEM-S-01,DEM,symbol,,Democrats ballot symbol,סמל הדמוקרטים,Common,אמת,,The Democrats submitted list,2026-09-07,https://www.kipa.co.il/חדשות/1231317-0/,"Submitted/requested letters; final CEC approval scheduled for 2026-09-27",orientation,submitted-pending-cec
DEM-P-01,DEM,manifesto,,Manifest excerpt 1,,Common,נקים ועדת חקירה ממלכתית לאירועי 7 באוקטובר וניישם את מסקנותיה במלואן.,We will establish a state commission of inquiry into the events of October 7 and implement its conclusions in full.,The Democrats policy plan,2026-08,https://democrats.org.il/wp-content/uploads/2026/08/plan-8-26-he.pdf,Security-policy module step 5 page 2,favorable,verified-document
DEM-P-02,DEM,manifesto,,Manifest excerpt 2,,Uncommon,"נגביל את כהונת ראש הממשלה לשמונה שנים, נקבע מנגנונים ברורים לנבצרות, ונעגן בחוק איסור כהונה תחת כתב אישום לשרים ולראש הממשלה.","We will limit the prime minister's tenure to eight years, establish clear incapacity procedures, and prohibit ministers and the prime minister from serving while under indictment.",The Democrats policy plan,2026-08,https://democrats.org.il/wp-content/uploads/2026/08/plan-8-26-he.pdf,Democracy and Law module step 5 page 4,favorable,verified-document
DEM-M01-Q01,DEM,member-quote,1,Yair Golan,יאיר גולן,Common,research-needed,research-needed,Yair Golan,research-needed,research-needed,research-needed,research-needed,research-needed
DEM-M01-Q02,DEM,member-quote,1,Yair Golan,יאיר גולן,Uncommon,research-needed,research-needed,Yair Golan,research-needed,research-needed,research-needed,research-needed,research-needed
DEM-M01-Q03,DEM,member-quote,1,Yair Golan,יאיר גולן,Rare,research-needed,research-needed,Yair Golan,research-needed,research-needed,research-needed,research-needed,research-needed
DEM-M02-Q01,DEM,member-quote,2,Naama Lazimi,נעמה לזימי,Common,research-needed,research-needed,Naama Lazimi,research-needed,research-needed,research-needed,research-needed,research-needed
DEM-M02-Q02,DEM,member-quote,2,Naama Lazimi,נעמה לזימי,Uncommon,research-needed,research-needed,Naama Lazimi,research-needed,research-needed,research-needed,research-needed,research-needed
DEM-M02-Q03,DEM,member-quote,2,Naama Lazimi,נעמה לזימי,Rare,research-needed,research-needed,Naama Lazimi,research-needed,research-needed,research-needed,research-needed,research-needed
DEM-M03-Q01,DEM,member-quote,3,Gilad Kariv,גלעד קריב,Common,research-needed,research-needed,Gilad Kariv,research-needed,research-needed,research-needed,research-needed,research-needed
DEM-M03-Q02,DEM,member-quote,3,Gilad Kariv,גלעד קריב,Uncommon,research-needed,research-needed,Gilad Kariv,research-needed,research-needed,research-needed,research-needed,research-needed
DEM-M03-Q03,DEM,member-quote,3,Gilad Kariv,גלעד קריב,Rare,research-needed,research-needed,Gilad Kariv,research-needed,research-needed,research-needed,research-needed,research-needed
DEM-M04-Q01,DEM,member-quote,4,Efrat Rayten,אפרת רייטן,Common,research-needed,research-needed,Efrat Rayten,research-needed,research-needed,research-needed,research-needed,research-needed
DEM-M04-Q02,DEM,member-quote,4,Efrat Rayten,אפרת רייטן,Uncommon,research-needed,research-needed,Efrat Rayten,research-needed,research-needed,research-needed,research-needed,research-needed
DEM-M04-Q03,DEM,member-quote,4,Efrat Rayten,אפרת רייטן,Rare,research-needed,research-needed,Efrat Rayten,research-needed,research-needed,research-needed,research-needed,research-needed
RAM-S-01,RAM,symbol,,Raam ballot symbol,סמל רע״ם,Common,עם,,Central Elections Committee,research-needed,research-needed,research-needed,orientation,research-needed
RAM-P-01,RAM,party-policy-statement,,Policy excerpt 1,,Common,موقف القائمة من مسألة الحكم واضح، ويتمثل في استبدال هذه الحكومة الفاشية العنصرية بحكومة تغيير نكون شركاء فيها,The list's position on government is clear: replacing this racist fascist government with a government of change in which we are partners.,Mansour Abbas at Raam general conference,2026-08-22,https://panet.com/index.php/story/4294302,Exact attributable conference statement; no current official manifesto located,analytical,provisional-source
RAM-P-02,RAM,party-policy-statement,,Policy excerpt 2,,Uncommon,وعلى رأسها قضايا العنف والإجرام، والمسكن، والفقر والبطالة والتشغيل، والاعتراف بقرانا في النقب وغيرها,"Foremost among them are violence and crime, housing, poverty, unemployment and employment, and recognition of our villages in the Negev.",Raam official list statement,2021-02-11,https://www.kul-alarab.com/Article/983129,Exact statement relayed verbatim by Arabic-language media; no current official manifesto located,analytical,provisional-source
RAM-M01-Q01,RAM,member-quote,1,Mansour Abbas,מנסור עבאס,Common,research-needed,research-needed,Mansour Abbas,research-needed,research-needed,research-needed,research-needed,research-needed
RAM-M01-Q02,RAM,member-quote,1,Mansour Abbas,מנסור עבאס,Uncommon,research-needed,research-needed,Mansour Abbas,research-needed,research-needed,research-needed,research-needed,research-needed
RAM-M01-Q03,RAM,member-quote,1,Mansour Abbas,מנסור עבאס,Rare,research-needed,research-needed,Mansour Abbas,research-needed,research-needed,research-needed,research-needed,research-needed
RAM-M02-Q01,RAM,member-quote,2,Yoav Segalovitz,יואב סגלוביץ,Common,research-needed,research-needed,Yoav Segalovitz,research-needed,research-needed,research-needed,research-needed,research-needed
RAM-M02-Q02,RAM,member-quote,2,Yoav Segalovitz,יואב סגלוביץ,Uncommon,research-needed,research-needed,Yoav Segalovitz,research-needed,research-needed,research-needed,research-needed,research-needed
RAM-M02-Q03,RAM,member-quote,2,Yoav Segalovitz,יואב סגלוביץ,Rare,research-needed,research-needed,Yoav Segalovitz,research-needed,research-needed,research-needed,research-needed,research-needed
RAM-M03-Q01,RAM,member-quote,3,Walid Taha,וליד טאהא,Common,research-needed,research-needed,Walid Taha,research-needed,research-needed,research-needed,research-needed,research-needed
RAM-M03-Q02,RAM,member-quote,3,Walid Taha,וליד טאהא,Uncommon,research-needed,research-needed,Walid Taha,research-needed,research-needed,research-needed,research-needed,research-needed
RAM-M03-Q03,RAM,member-quote,3,Walid Taha,וליד טאהא,Rare,research-needed,research-needed,Walid Taha,research-needed,research-needed,research-needed,research-needed,research-needed
RAM-M04-Q01,RAM,member-quote,4,Walid al-Hawashla,וליד אלהואשלה,Common,research-needed,research-needed,Walid al-Hawashla,research-needed,research-needed,research-needed,research-needed,research-needed
RAM-M04-Q02,RAM,member-quote,4,Walid al-Hawashla,וליד אלהואשלה,Uncommon,research-needed,research-needed,Walid al-Hawashla,research-needed,research-needed,research-needed,research-needed,research-needed
RAM-M04-Q03,RAM,member-quote,4,Walid al-Hawashla,וליד אלהואשלה,Rare,research-needed,research-needed,Walid al-Hawashla,research-needed,research-needed,research-needed,research-needed,research-needed
